PROJECT_ID,PROJECT_NAME,PROJECT_DESCRIPTION,ESTIMATED_COST,UPDATE_ACTIVITY,ENVIRONMENTAL_ASSESSMENT_STAGE,CONSTRUCTION_TYPE,CONSTRUCTION_SUBTYPE,PROJECT_TYPE,REGION,MUNICIPALITY,DEVELOPER,ARCHITECT,PROJECT_STATUS,PROJECT_STAGE,PROJECT_CATEGORY_NAME,PUBLIC_FUNDING_IND,PROVINCIAL_FUNDING,FEDERAL_FUNDING,MUNICIPAL_FUNDING,OTHER_PUBLIC_FUNDING,GREEN_BUILDING_IND,GREEN_BUILDING_DESC,CLEAN_ENERGY_IND,INDIGENOUS_IND,INDIGENOUS_NAMES,INDIGENOUS_AGREEMENT,CONSTRUCTION_JOBS,OPERATING_JOBS,STANDARDIZED_START_DATE,STANDARDIZED_COMPLETION_DATE,LATITUDE,LONGITUDE,LATITUDE_DMS,LONGITUDE_DMS,TELEPHONE,PROJECT_WEBSITE,FIRST_ENTRY_DATE,LAST_UPDATE
4862,Surrey Memorial Hospital Interventional Cardiology,Create 2 new Cardiac Cath rooms and 2 new Interventional Radiology procedure rooms and recovery space.,97,,,Institutional,Health,Health Care and Social Assistance,2. Mainland/Southwest,Surrey,Fraser Health Authority,,Construction started,,Public Services,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2024-Q3,2025-Q3,,,,,,,2025-03-01,2025-03-01
4863,University Hospital of Northern British Columbia (UHNBC) Patient Care Tower Preparatory Works (Phase 1),"Early Works to occur prior to Acute Care Tower (ACT) construction: Demolish and decant the Health Unit building on the site of the new tower.
Northern Health securing a new site, tenant improvements, and relocate patients.
o	Construct an 8-storey, 471-stall parkade elsewhere on the UHNBC site.",103,,,Institutional,Health,Health Care and Social Assistance,5. Cariboo,Prince George,University Hospital of Northern British Columbia (UHNBC),,Construction started,,Public Services,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2023-Q3,2026-Q2,,,,,,,2025-03-01,2025-03-01
4864,St. Paul's Hospital - Clinical Support & Research Centre,the Clinical Support and Research Centre (CSRC) will accommodate clinicians and researchers on the campus. The project located on an 18.4-acre site on Station St has received approval of the business plan and funding.,638,,,Institutional,Health,Health Care and Social Assistance,2. Mainland/Southwest,Vancouver,Providence Health Care,,Construction started,,Public Services,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,LEED gold,FALSE,FALSE,,,,,2023-Q3,2029-Q3,,,,,,,2025-03-01,2025-03-01
4865,East Kootenay Regional Hospital - Renal & Oncology redevelopment,"The project will relocate the Oncology and Renal departments from the existing locations on the third floor of EKRH to a new two-floor building addition located adjacent to the ICU with a BGSM of 2,158 m2.",59,,,Institutional,Health,Health Care and Social Assistance,4. Kootenay,Cranbrook,Interior Health Authority/ Kootenay East Regional Hospital District,,Construction started,,Public Services,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2024-Q3,2028-Q3,,,,,,,2025-03-01,2025-03-01
4866,Silvertip Silver/Lead/Zinc Mine,"Underground silver mine located 107 km southwest of Watson Lake YT, Exploration is underway to provide updated resource estimate. Drill program",,New proposed project,,Industrial,Mining,Mining,7. Nechako,Cassiar,Coeur Mining,,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,,2025-03-01,2025-03-01
4867,Slate and Ash Condominium,Proposed 62-unit condominium in a 6-storey building located at 5079 Ash Street.,20,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Pennyfarthing Homes,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 734-8443,,2025-03-01,2025-03-01
4879,Ashleigh Oakridge,Proposed 124-unit development in a 4-storey lowrise condominium located 5020 Ash St.,22,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Peterson,GBL Architects,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(60$0 688-4885,,2025-03-01,2025-03-01
4859,Trigon Liquid Petroleum Gas (LPG) Export Facility,Proposed new open-access 2.5 million MTPA LPG export facility.,750,New proposed project,,Industrial,Oil & Gas,Oil and Gas Extraction,6. North Coast,Prince Rupert,Trigon Pacific Terminals Ltd.,,Proposed,Consultation/Approvals,Mining & Oil & Gas Extraction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2026-Q3,2029-Q4,,,,,,,2025-03-01,2025-03-01
4880,Highway 1 Selkirk,"The project is a segment of the TCH Four-Laning Program between Revelstoke and Golden and an extension of the planned Quartz Creek Project. The project begins 1.1 km east of the Quartz Creek Forest Service Road and continues eastward for about 3.9 km. 
Key features of the project include 3.9 km of four-laning the TCH, including the installation of median barrier, two wildlife crossings, exclusion fencing to protect wildlife and facilitate crossing management, and construction of the existing road subgrade to resolve the ongoing frost heave issues.",129,,,Infrastructure,Roads & Highways,Transportation,3. Thompson-Okanagan,Revelstoke,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,2027-Q1,,,,,(250) 356-8241,,2025-03-01,2025-03-01
4868,Autograph Condominium,Proposed 64-unit condominium in a 4-storey building located at 5007 Ash Street.,20,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Pennyfarthing Homes,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 734-8443,,2025-03-01,2025-03-01
4878,Dow Ave Condominium,Proposed 770-unit development located at 6645-6707 Dow Ave.,135,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Peterson,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(60$0 688-4885,,2025-03-01,2025-03-01
4877,Maywood Condos,Proposed 276-unit condominium in a 32-storey highrise located at 4355 Maywood St.,46,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Peterson,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4876,Unison Townhouse Condominium,Proposed 62-unit townhouse condominium located at 682 West 28th Ave.,20,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Vancouver,Belford Properties,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4875,M Residences,Proposed 272-unit condominium in a 31-storey highrise located at Maywood St and Cassie Ave.,56,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Belford Properties,Buttjes Architecture Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4874,Telford Ave Condominium,Proposed 408-unit development in a 50-storey condominium located at 6508 Telford Ave.,80,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4873,King George Boulevard Condos,Proposed 746-unit development in a 67-storey highrise condominium located at 10227 King George Boulevard.,140,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Surrey,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4872,Willingdon Ave Condominium,Proposed 215-unit development in a highrise building located at 6390 Willingdon Avenue.,38,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4871,Clarke Road & Hobbis Way Condos,Proposed 224-unit development in a 14-storey condominium.,40,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Coquitlam,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4870,Core Highrise Condominium,Proposed 429-unit development in a 50 storey highrise located at 10294 City Parkway.,80,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Surrey,Westland,Chris Dikeakos Architects Inc.,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,2027-Q3,,,,,(604) 566-6888,,2025-03-01,2025-03-01
4869,Silver Ave Condominium,Proposed 254-unit highrise condominium located at 6444 Silver Ave.,43,New proposed project,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Burnaby,Belford Properties,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 559-3359,,2025-03-01,2025-03-01
4882,Highway 1 Bus on Shoulder - McKenzie to Colwood Interchange,"Project includes Highway 1 widening to accommodate a 4.0m wide bus on shoulder lane, proposed pedestrian bridge along the Galloping goose trail, rock cut, retaining walls and drainage upgrades.",95,,,Infrastructure,Roads & Highways,Transportation,1. Vancouver Island/Coast,Saanich,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,2028-Q1,,,,,(250) 356-1861,,2025-03-01,2025-03-01
4823,Various Sites - Transmission Load Interconnection Project,"This project is to facilitate the interconnection of customers' facilities to BC Hydro's Transmission system. Under BC Hydro's standards tariffs and policies, the customer is required to pay a portion of this project's costs.",47,,,Infrastructure,Utilities,Utilities,8. Northeast,Dawson Creek,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2024-Q4,2027-Q1,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2024-12-01,2025-03-01
4836,Brewster Wind Farm,Proposed 200 MW wind energy project with 36 turbines to be located near Campbell River. Project was selected for a power purchase agreement in the 2024 BC Hydro clean call for power.,600,,,Infrastructure,Utilities,Utilities,1. Vancouver Island/Coast,Campbell River,Capstone Infrastructure Corp.,,Proposed,,Utilities (incl sewage treatment),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,Wei Wai Kum First Nation,,275,,,2030-Q4,,,,,,,2024-12-01,2025-03-01
4835,Mount Milligan Mine Extension,Project to extend the mine life of the open pit copper and gold mine operation at Mount Milligan Mine to 2035. Preliminary economic assessment will take place in 2025 to evaluate the full potential of the extension.,,,,Industrial,Mining,Mining,5. Cariboo,Mackenzie Region,Centerra Gold,,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,55.11666,-124.0333,"55° 6' 59.98"" N","124° 1' 59.88"" W",,,2024-12-01,2025-03-01
4834,Aspen Point Program,"Project to include expansion of the T-North section of the Westcoast connector with 18 km of new pipeline segments that will add 535 MMcf/d transportation capacity. Looping of the existing Aitken Creek pipeline with a 9 km section of 24' pipeline, looping of the Fort St. John mainline with an 8 km section of 36' pipeline, and 1 km of 30' pipeline to connect the Wochiigii Compressor Station to the existing Alberta Mainline. Infrastructure upgrades will include installation of new electric compressors at the existing compressor stations. Project has received Canadian Energy Regulators (CER) approval in Dec 2024.",1200,,,Industrial,Oil & Gas,Liquefied Natural Gas - Natural Gas Pipeline,6. North Coast,Prince Rupert,Westcoast Energy Inc.,,Proposed,Consultation/Approvals,Transportation & Warehousing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2025-Q2,2026-Q4,,,,,,,2024-12-01,2025-03-01
4833,Northeast British Columbia (NEBC) Connector,"Proposed project that will consist of two parallel 8"" to 12"" pipelines that will be 213 km in length, and transport condensate (C3+) and natural gas liquids (C5+). The pipelines will run from northwest of  Wonowon to the Gordondale area, extending  23 km over the Alberta border. Project working toward Financial Investment Decision (FID).",350,,,Industrial,Oil & Gas,Liquefied Natural Gas - Natural Gas Pipeline,8. Northeast,Wonowon,Northriver Midstream Inc.,,Proposed,Consultation/Approvals,Transportation & Warehousing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,,2024-12-01,2025-03-01
4832,Highway 1 Corridor - Tank Hill,"Permanent Repairs to Highway 1 to rebuild infrastructure damaged during the Nov 2021 Atmospheric Event. A Request for Proposals (RFP) has been awarded to design and construct the repairs at Falls Creek Bridge, Tank Hill Crossing, and Nicomen River Bridge.",293,,,Infrastructure,Roads & Highways,Transportation,3. Thompson-Okanagan,Othello To Merrit,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2024-Q2,2026-Q2,,,,,(604) 453-4500,,2024-12-01,2025-03-01
4831,Highway 1 Corridor - Nicomen Bridge,"Permanent Repairs to Highway 1 to rebuild infrastructure damaged during the Nov 2021 Atmospheric Event. A Request for Proposals (RFP) has been awarded to design and construct the repairs at Falls Creek Bridge, Tank Hill Crossing, and Nicomen River Bridge.",144,,,Infrastructure,Roads & Highways,Transportation,3. Thompson-Okanagan,Othello To Merrit,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2023-Q1,2025-Q2,,,,,(604) 453-4500,,2024-12-01,2025-03-01
4828,George Greenway Elementary School Addition,Addition of 14 modular classrooms will increase capacity by 350 students.,21,,,Institutional,Education,Educational Services,2. Mainland/Southwest,Surrey,School District 36,,Proposed,Tender/Preconstruction,Public Services,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2025-Q2,2025-Q3,,,,,(604) 596-7733,,2024-12-01,2025-03-01
4826,Brookswood-Fernridge Firehall,"Replacement firehall for the Brookswood-Fernridge neighbourhood. Facility will include living quarters, offices, equipment and training rooms for career and paid-on-call firefighters.",32,,,Institutional,Government buildings,Public Administration,2. Mainland/Southwest,Langley,Langley Township,,Proposed,Tender/Preconstruction,Public Services,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,2025-Q2,2026-Q1,,,,,(604) 534-3211,,2024-12-01,2025-03-01
4824,Hugh Keenleyside - 90 Tons Crane Upgrade Project,This project is to replace the 90-ton capacity gantry crane at the Hugh Keenleyside dam with a new crane to accommodate operational needs and increase lifting capacity requirements.,26,,,Infrastructure,Utilities,Utilities,4. Kootenay,Castlegar,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2024-Q4,2027-Q3,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2024-12-01,2025-03-01
4837,Highland Valley Wind Farm,Proposed 197 MW wind farm located 18 km west of Logan Lake. Project was selected for a power purchase agreement in the 2024 BC Hydro clean call for power.,,,,Infrastructure,Utilities,Utilities,3. Thompson-Okanagan,Logan Lake,Capstone Infrastructure Corp.,,Proposed,,Utilities (incl sewage treatment),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,Ashcroft Indian Band,,,,,2030-Q4,,,,,,,2024-12-01,2025-03-01
4822,Revelstoke - Marble Shear Block Rock Fall Mitigation/Instrumentation Project,This project is to address the instability on the face of the Marble Shear Block that has impacted the access to the Revelstoke generating station.,16,,,Infrastructure,Utilities,Utilities,3. Thompson-Okanagan,Revelstoke,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2024-Q4,2026-Q1,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2024-12-01,2025-03-01
4844,ShTSaQU Solar Project,Proposed 104 MW solar farm located in the Logan Lake area. Project was selected for a power purchase agreement in the 2024 BC Hydro clean call for power.,,,,Infrastructure,Utilities,Utilities,3. Thompson-Okanagan,Logan Lake,BluEarth Renewables Inc.,,Proposed,,Utilities (incl sewage treatment),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,Oregon Jack Creek Band,,,,,2030-Q4,,,,,,,2024-12-01,2025-03-01
4825,Jericho Water Pump Station,Project to construct a booster pump station to increase water system capacity in the Willoughby neighbourhood.,20,Project started construction,,Infrastructure,Utilities,Utilities,2. Mainland/Southwest,Langley,Langley Township,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,2025-Q1,2026-Q1,,,,,(604) 534-3211,,2024-12-01,2025-03-01
4848,Edge Condominiums,Proposed development of a 152-unit condominium in a 6-storey building located at 9488 134 St.,25,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Surrey,Adera Development Corp.,Keystone Architecture,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 684-8277,,2024-12-01,2025-03-01
4842,Nithi Mountain Wind Project,Proposed 200 MW wind farm has been selected for a power purchase agreement in the 2024 BC Hydro clean call for power.,,,,Infrastructure,Utilities,Utilities,7. Nechako,Fraser Lake,Innergex Renewable Energy,,Proposed,,Utilities (incl sewage treatment),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,Stellat’en First Nation,,,,,2030-Q4,,,,,,,2024-12-01,2025-03-01
4838,Boulder and Elkhart Wind Project,"Proposed 94 MW wind project with 12 to 16 turbines, located between Merrit and Kelowna. Project was selected for a power purchase agreement in the 2024 BC Hydro clean call for power.",,,,Infrastructure,Utilities,Utilities,3. Thompson-Okanagan,Merritt,Elkhart Wind Limited Partnership,,Proposed,Permitting,Utilities (incl sewage treatment),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,Upper Nicola Band,,,,2027-Q4,2028-Q4,,,,,(604) 648-6630,,2024-12-01,2025-03-01
4852,Sierra Condominiums,Proposed 422-unit development in a 6-storey condominium located at 228 Dunlop St.,80,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Coquitlam,Ledingham McAlister,,Proposed,,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 422-0599,,2024-12-01,2025-03-01
4849,Wellwood Condominium,Proposed 292-unit development located at 548 Cochrane Ave.,52,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Coquitlam,Adera Development Corp.,,Proposed,,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,(604) 684-8277,,2024-12-01,2025-03-01
4847,Rockford Condominium,Development of a 67-unit condominium at 1651 128 St.,20,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Surrey,Cressey Development Corp.,Yamamoto Architecture Inc.,Proposed,,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2025-Q3,2027-Q4,,,,,(604) 895-0428,,2024-12-01,2025-03-01
4846,Town and Centre Highrise Condominium - North Tower,Proposed development of 265-units in a 28-storey condominium. Project is located at 3646 Westwood St.,60,,,Residential,Primarily residential - Single use,Residential,2. Mainland/Southwest,Port Coquitlam,Mosaic Homes,,Proposed,Tender/Preconstruction,Residential/Commercial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,49.277351,-122.789917,49° 16' 38.4636'' N,122° 47' 23.7012'' W,,,2024-12-01,2025-03-01
4840,K2 Wind Project,Proposed 160 MW wind farm has been selected for a power purchase agreement in the 2024 BC Hydro clean call for power.,,,,Infrastructure,Utilities,Utilities,3. Thompson-Okanagan,Kelowna,Innergex Renewable Energy,,Proposed,,Utilities (incl sewage treatment),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,Westbank First Nation,,,,,2030-Q4,,,,,,,2024-12-01,2025-03-01
